,site_name,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
0,,,,,,,,,,,
1,biyoulabox.xyz,9月10日,2018年,15位,10位,4位,11位,5位,18位,9位,1位
2,blog.goo.ne.jp,1714,goo,blog,ジャンル,ランキング,gooブログ,新規作成,テンプレート,お知らせ,使い方
3,otonanswer.jp,名無しさん,返信,20190109,名無し,吹け,01,10日,なる,コメント,2019年
4,www.hpfree.com,漫画,エンタメ,201927,反響,201926,ライフ,pr,201923,見る,new
5,tsuyaplus.jp,くじ,抽せん,2018年,全国自治宝くじ,宝くじ,2019年,01,31日,08,毎週
6,maho.jp,02,ビューティー,2019年,フード,つや,ヘア,悩み,美容,全般,メイク
7,jyanich.com,小説,コンテスト,作品,無料,magazine,新規,会員登録,コミック,あなた,ログイン
8,www.jabezadvisory.com,山口達也,tokio,復帰,鉄腕dash,目撃,いる,復活,ジャニーズ,dash島,なっ
9,db.sp.netkeiba.com,くじ,宝くじ,ジャンボ宝くじ,ミニ,案内,当選番号,ビッグチャンス,バレンタイン,速報,かもめ
10,medicalnote.jp,モエロウエクラ,競走馬,データベース,連対,代表,レース,勝率,新着,競馬,お気に入り
11,blog.livedoor.jp/kinisoku/archives/5013621.html,asset,medical,note,158510,201575,2062,20181225,alsã,ldlã,noteå
